,goalType,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
10,regular,0.55276155471802,0.795,2180915,66,0.0,3958,25,1442,shot,heung-min-son,111505,8.6,40.9,0,0,53.9,2.5,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
11,regular,0.19010338187218,0.4326,2180874,63,0.0,3753,28,1647,shot,heung-min-son,111505,13.3,47.0,0,0,45.6,10.1,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
12,0,0.01505428366363,0.0,2180852,62,0.0,3711,29,1689,shot,yves-bissouma,844842,21.8,33.8,0,0,61.3,26.4,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
13,0,0.033756844699383,0.4897,2180824,61,0.0,3605,30,1795,shot,yves-bissouma,844842,21.3,64.2,0,0,54.2,2.5,1.9,51.1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
14,0,0.060020916163921,0.0,2180785,57,0.0,3360,34,2040,shot,hannes-delcroix,826169,6.8,42.8,0,0,32.6,6.9,3.5,52.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
15,0,0.1879784911871,0.8298,2180762,56,0.0,3323,35,2077,shot,foster-lyle,901907,13.2,57.3,0,0,51.9,29.1,3.6,52.3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
16,regular,0.088168188929558,0.3698,2180743,54,0.0,3203,37,2197,shot,james-maddison,356398,20.1,42.2,0,0,45.7,13.9,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
17,0,0.01933660171926,0.0,2180675,51,0.0,3014,40,2386,shot,josh-brownhill,358394,26.9,47.4,0,0,48.7,65.3,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
18,0,0.063471235334873,0.1729,2180643,49,0.0,2898,42,2502,shot,james-maddison,356398,6.5,30.2,0,0,53.9,3.8,0.90000000000001,47.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
19,0,0.13776841759682,0.0,2180647,48,0.0,2852,43,2548,shot,heung-min-son,111505,13.0,48.5,0,0,48.9,13.9,9.7,49.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
20,regular,0.03387264162302,0.6013,2180473,45,2.0,2775,1,2625,shot,cristian-romero,829932,18.7,63.0,0,0,54.3,26.6,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
21,0,0.04593401402235,0.0,2180483,45,2.0,2772,1,2628,shot,pape-matar-sarr,1002711,12.8,54.5,0,0,46.5,19.0,10.6,54.3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
22,0,0.037044573575258,0.0,2180455,45,1.0,2728,1,2672,shot,heung-min-son,111505,24.4,37.3,0,0,49.9,19.0,18.8,40.2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
23,0,0.030303506180644,0.0,2180346,36,0.0,2159,10,541,shot,pedro-porro,913654,22.7,69.6,0,0,62.2,12.5,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,0,0.32154670357704,0.801,2180348,35,0.0,2051,11,649,shot,pape-matar-sarr,1002711,6.8,47.6,0,0,51.9,5.7,4.4,48.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
25,0,0.021777706220746,0.0,2180340,35,0.0,2049,11,651,shot,pedro-porro,913654,22.0,68.9,0,0,54.5,11.1,5.1,51.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
26,0,0.059499736875296,0.2264,2180333,35,0.0,2042,11,658,shot,james-maddison,356398,17.9,34.2,0,0,47.0,16.5,1.5,49.3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
27,0,0.13876217603683,0.047,2180273,30,0.0,1747,16,953,shot,james-maddison,356398,13.5,47.4,0,0,48.6,11.4,1.5,49.5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
28,0,0.048369497060776,0.0,2180267,30,0.0,1745,16,955,shot,pape-matar-sarr,1002711,17.9,34.2,0,0,51.0,19.0,11.9,39.2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
29,0,0.037170346826315,0.0,2180219,24,0.0,1401,22,1299,shot,luca-koleosho,1216282,18.7,49.7,0,0,51.0,19.0,17.0,49.6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
30,0,0.027008913457394,0.0,2180189,21,0.0,1201,25,1499,shot,zeki-amdouni,990550,24.9,49.0,0,0,62.7,4.2,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
31,0,0.044273290783167,0.0,2180177,19,0.0,1117,27,1583,shot,luca-koleosho,1216282,10.5,43.9,0,0,69.6,11.1,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
32,0,0.010846146382391,0.3851,2183616,18,0.0,1033,28,1667,shot,james-maddison,356398,53.0,33.4,0,0,54.4,23.4,12.7,44.8,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
33,regular,0.19976848363876,0.332,2180157,16,0.0,954,30,1746,shot,heung-min-son,111505,6.8,59.5,0,0,48.8,19.6,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
34,0,0.046654112637043,0.0,2180121,14,0.0,805,32,1895,shot,manor-solomon,862223,3.9,32.8,0,0,49.1,19.0,2.8,37.9,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
35,0,0.070291586220264,0.0,2180023,8,0.0,439,38,2261,shot,manor-solomon,862223,9.3,37.1,0,0,46.1,18.1,7.5,39.7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
36,regular,0.36122658848763,0.5957,2179989,4,0.0,234,42,2466,shot,foster-lyle,901907,8.0,46.8,0,0,49.1,0.6,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
