,goalType,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
25,0,0.025809027254581,0.0,2137856,29,0.0,1684,17,1016,shot,pelly-ruddock-mpanzu,387116,12.2,31.2,0,0,52.3,19.0,10.9,33.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
26,0,0.019491506740451,0.0,2137824,26,0.0,1517,20,1183,shot,mahmoud-dahoud,341589,25.1,37.3,0,0,39.3,88.9,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0,0.25120612978935,0.0,2137784,23,0.0,1353,23,1347,shot,pelly-ruddock-mpanzu,387116,4.1,45.2,0,0,59.8,13.9,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
28,0,0.03665716201067,0.1184,2137744,20,0.0,1178,26,1522,shot,danny-welbeck,33902,12.0,71.9,0,0,52.0,6.3,1.9,54.9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
29,0,0.036620043218136,0.0,2137711,18,0.0,1039,28,1661,shot,pervis-estupinan,805465,16.7,32.2,0,0,51.1,19.0,11.0,37.9,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
30,0,0.0081531517207623,0.0,2137724,18,0.0,1029,28,1671,shot,solly-march,301288,25.8,62.5,0,0,51.6,19.0,15.1,56.7,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
31,0,0.13630646467209,0.0,2137663,14,0.0,782,32,1918,shot,pascal-gross,48480,7.7,54.4,0,0,61.7,2.8,5.3,50.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
32,0,0.014249479398131,0.0,2137597,8,0.0,470,38,2230,shot,danny-welbeck,33902,26.4,31.0,0,0,48.6,73.6,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0,0.34697434306145,0.0,2137565,5,0.0,280,41,2420,shot,joao-pedro,975079,9.0,52.0,0,0,58.3,4.2,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
34,0,0.10169729590416,0.0,2137539,3,0.0,128,43,2572,shot,lewis-dunk,115365,5.6,56.7,0,0,51.6,86.1,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
35,0,0.016528680920601,0.0,2137542,2,0.0,118,44,2582,shot,lewis-dunk,115365,12.3,49.1,0,0,80.5,11.1,3.1,33.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
