,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot
10,0.042688850313425,0.0337,2165564,53,0.0,3148,38,2252,shot,0,james-garner,927361,13.7,60.6,0,0,48.6,13.3,3.5,53.8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
11,0.080587841570377,0.5076,2165534,52,0.0,3107,39,2293,shot,0,arnaut-danjuma,827064,9.1,41.7,0,0,52.8,5.1,2.8,46.9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
12,0.130246758461,0.0,2165281,43,0.0,2537,3,163,shot,0,matheus-cunha,886363,8.5,51.3,0,0,1.7,12.5,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
13,0.033947102725506,0.0,2165284,43,0.0,2527,3,173,shot,0,matheus-cunha,886363,26.1,42.5,0,0,47.9,19.0,18.0,45.5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
14,0.12611980736256,0.0,2165208,36,0.0,2151,10,549,shot,0,arnaut-danjuma,827064,9.7,41.5,0,0,40.3,2.8,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
15,0.037737961858511,0.0,2165194,35,0.0,2098,11,602,shot,0,pedro-neto,879349,11.4,68.6,0,0,49.6,90.3,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
16,0.047666028141975,0.0,2165196,35,0.0,2095,11,605,shot,0,joao-gomes,1015267,17.1,54.9,0,0,52.1,19.0,15.3,54.2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
17,0.096728123724461,0.0,2165128,30,0.0,1759,16,941,shot,0,jarrad-branthwaite,979563,7.8,52.2,0,0,39.0,52.8,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
18,0.18047438561916,0.0,2165123,28,0.0,1628,18,1072,shot,0,james-tarkowski,145188,7.1,59.0,0,0,43.5,38.9,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
19,0.065216824412346,0.2241,2165122,28,0.0,1626,18,1074,shot,0,lewis-dobbin,998832,7.8,42.5,0,0,47.8,21.5,1.1,48.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
20,0.013725320808589,0.0,2165115,28,0.0,1625,18,1075,shot,0,james-garner,927361,20.4,63.7,0,0,61.8,38.9,4.7,43.7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
21,0.22787207365036,0.3695,2164915,14,0.0,799,32,1901,shot,0,arnaut-danjuma,827064,18.8,47.9,0,0,47.5,12.0,8.9,48.9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
22,0.053770303726196,0.0,2164836,8,0.0,429,38,2271,shot,0,amadou-onana,923973,19.5,49.0,0,0,50.8,19.0,11.1,49.1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
23,0.0097599057480693,0.0,2164818,6,0.0,352,40,2348,shot,0,mario-lemina,307284,24.4,28.3,0,0,47.7,79.2,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
24,0.027323307469487,0.0,2164806,5,0.0,291,41,2409,shot,0,arnaut-danjuma,827064,26.4,39.4,0,0,53.3,70.8,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
25,0.011733802035451,0.0,2164785,3,0.0,146,43,2554,shot,0,mario-lemina,307284,13.1,67.0,0,0,41.3,6.9,1.4,59.9,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
