,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
11,0.060101624578238,0.0527,2152355,54,0.0,3186,37,2214,shot,0,mathias-jensen,799251,15.4,49.3,0,0,50.0,32.9,2.3,49.6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
12,0.14146555960178,0.0,2152349,53,0.0,3137,38,2263,shot,0,bobby-decordova-reid,151499,13.8,57.5,0,0,53.5,39.9,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
13,0.03315020725131,0.0,2152315,50,0.0,2998,41,2402,shot,0,raul-jimenez,192442,21.1,43.9,0,0,48.7,19.0,19.2,44.6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
14,0.11796372383833,0.0,2152272,46,0.0,2749,45,2651,shot,0,nathan-collins,958916,2.7,40.7,0,0,68.2,34.7,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
15,0.30676826834679,0.6912,2152111,44,0.0,2617,2,83,shot,regular,yoane-wissa,805123,12.8,57.3,0,0,46.4,1.3,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
16,0.093310721218586,0.0,2152040,38,0.0,2244,8,456,shot,0,yoane-wissa,805123,8.1,46.0,0,0,40.2,2.8,7.7,48.6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
17,0.0073377015069127,0.0,2151966,34,0.0,2009,12,691,shot,0,bobby-decordova-reid,151499,22.5,28.1,0,0,49.0,19.0,17.5,33.2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
18,0.037650853395462,0.2183,2151904,28,0.0,1678,18,1022,shot,0,yoane-wissa,805123,22.9,58.2,0,0,52.9,1.3,4.7,51.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
19,0.12552730739117,0.3093,2151873,24,0.0,1429,22,1271,shot,0,yoane-wissa,805123,7.0,48.5,0,0,52.1,27.2,1.0,50.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
20,0.017589980736375,0.0,2151859,24,0.0,1428,22,1272,shot,0,christian-norgaard,135256,10.4,38.4,0,0,36.5,13.9,7.5,45.8,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
21,0.016248388215899,0.0,2151825,22,0.0,1298,24,1402,shot,0,issa-diop,825719,23.4,41.6,0,0,49.4,19.0,11.9,46.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
22,0.025470349937677,0.0,2151783,19,0.0,1094,27,1606,shot,0,mathias-jensen,799251,42.2,26.4,0,0,59.8,13.9,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
23,0.10954017937183,0.0471,2151736,15,0.0,857,31,1843,shot,0,bryan-mbeumo,927083,8.3,58.8,0,0,49.8,2.5,3.7,54.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
24,0.016206953674555,0.0,2151667,9,0.0,515,37,2185,shot,0,andreas-pereira,285949,33.4,41.2,0,0,54.3,91.7,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
25,0.1058427542448,0.0,2151639,6,0.0,341,40,2359,shot,0,issa-diop,825719,8.6,48.8,0,0,53.9,87.5,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
26,0.014310746453702,0.0,2151613,3,0.0,158,43,2542,shot,0,yoane-wissa,805123,8.9,67.7,0,0,49.4,81.9,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
