,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot
10,0.057701244950294,2152481,61,0.0,3630,30,1770,shot,0.4175,regular,hee-chan-hwang,786186,7.4,40.1,0,0,46.1,9.5,0.0,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
11,0.4456262588501,2152482,61,0.0,3608,30,1792,shot,0.7871,0,matheus-cunha,886363,3.4,51.0,0,0,50.8,30.4,1.4,50.2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
12,0.65164583921432,2152465,61,0.0,3605,30,1795,shot,0.0,0,mario-lemina,307284,3.4,52.9,0,0,47.4,39.2,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
13,0.31663659214973,2152373,55,0.0,3253,36,2147,shot,0.8294,regular,solly-march,301288,7.4,47.8,0,0,53.2,4.4,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
14,0.11354022473097,2152356,54,0.0,3206,37,2194,shot,0.4852,0,julio-enciso,973556,14.2,71.8,0,0,52.6,18.4,6.8,61.4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
15,0.42126950621605,2152336,51,0.0,3058,40,2342,shot,0.9027,regular,solly-march,301288,7.3,47.5,0,0,52.2,26.6,0.0,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
16,0.20852594077587,2152266,46,0.0,2740,45,2660,shot,0.0716,regular,pervis-estupinan,805465,8.9,42.1,0,0,49.2,2.5,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
17,0.086008325219154,2152280,46,0.0,2736,45,2664,shot,0.03,0,danny-welbeck,33902,18.7,66.2,0,0,50.7,13.3,5.9,54.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
18,0.088297508656979,2152112,45,0.0,2641,1,59,shot,0.0667,0,solly-march,301288,8.2,59.6,0,0,50.9,10.1,1.8,52.9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
19,0.31797808408737,2152059,40,0.0,2391,6,309,shot,0.0,0,rayan-ait-nouri,931278,8.4,34.9,0,0,52.8,61.1,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
20,0.041877225041389,2152029,38,0.0,2235,8,465,shot,0.0,0,joao-gomes,1015267,22.5,47.5,0,0,49.2,19.0,15.4,48.6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
21,0.051276613026857,2152000,37,0.0,2164,9,536,shot,0.0,0,pedro-neto,879349,9.3,69.3,0,0,43.5,51.4,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
22,0.037589594721794,2151955,33,0.0,1959,13,741,shot,0.0,0,julio-enciso,973556,22.6,47.3,0,0,41.5,59.7,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
23,0.080345891416073,2151938,32,0.0,1867,14,833,shot,0.0,0,matheus-nunes,945122,13.1,34.7,0,0,40.7,8.3,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
24,0.063518702983856,2151905,29,0.0,1717,17,983,shot,0.5156,0,craig-dawson,50027,4.7,45.2,0,0,47.9,24.1,1.0,48.9,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
25,0.40416365861893,2151903,28,0.0,1678,18,1022,shot,0.7399,0,fabio-silva,954076,14.5,37.1,0,0,53.5,3.2,9.7,41.2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
26,0.025506580248475,2151896,27,0.0,1604,19,1096,shot,0.0,0,julio-enciso,973556,11.9,26.5,0,0,51.7,19.0,9.4,31.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
27,0.011234678328037,2151862,26,0.0,1511,20,1189,shot,0.0,0,craig-dawson,50027,31.3,42.9,0,0,51.4,55.6,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
28,0.51157057285309,2151743,15,0.0,880,31,1820,shot,0.9397,regular,mitoma-kaoru,936849,9.3,42.5,0,0,46.1,7.6,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
29,0.08597407490015,2152162,14,0.0,791,32,1909,shot,0.0,0,danny-welbeck,33902,13.8,38.0,0,0,11.8,12.5,12.4,44.4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
30,0.022060535848141,2151701,12,0.0,668,34,2032,shot,0.0,0,julio-enciso,973556,22.9,41.8,0,0,31.4,11.1,14.7,49.1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
31,0.032063193619251,2151607,3,0.0,160,43,2540,shot,0.0,0,mario-lemina,307284,20.2,48.8,0,0,50.5,19.0,11.2,49.1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
