,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
10,0.072892099618912,0.0,2138615,69,0.0,4126,22,1274,shot,0,harry-wilson,355528,17.1,34.7,0,0,54.3,62.5,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
11,0.25834509730339,0.0,2138588,67,0.0,4018,24,1382,shot,0,patterson-nathan,1020141,6.1,62.3,0,0,51.7,38.6,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
12,0.037370305508375,0.0507,2138600,67,0.0,4016,24,1384,shot,0,alex-iwobi,352770,19.4,34.0,0,0,48.4,12.7,1.9,49.3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
13,0.0091055706143379,0.0,2138458,60,0.0,3559,31,1841,shot,0,patterson-nathan,1020141,29.7,57.8,0,0,49.1,19.0,17.9,55.1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
14,0.12148883938789,0.0,2138411,57,0.0,3398,34,2002,shot,0,bobby-decordova-reid,151499,11.4,40.2,0,0,41.0,62.5,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
15,0.068394482135773,0.0,2138409,57,0.0,3393,34,2007,shot,0,raul-jimenez,192442,11.2,54.6,0,0,55.4,6.3,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
16,0.024329727515578,0.0,2138349,53,0.0,3127,38,2273,shot,0,sasa-lukic,371222,19.1,45.8,0,0,59.0,1.4,0.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
17,0.084433391690254,0.0914,2138114,45,0.0,2678,1,22,shot,0,neal-maupay,268903,15.7,52.4,0,0,48.8,1.3,2.0,50.5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
18,0.041337225586176,0.0,2138079,43,0.0,2565,3,135,shot,0,patterson-nathan,1020141,12.7,67.8,0,0,58.5,83.3,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
19,0.53367739915848,0.9075,2138051,42,0.0,2479,4,221,shot,0,neal-maupay,268903,9.5,47.8,0,0,53.1,3.8,7.5,48.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
20,0.054646205157042,0.0546,2138035,41,0.0,2444,5,256,shot,0,amadou-onana,923973,14.9,70.0,0,0,48.9,24.7,2.4,53.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
21,0.6807599067688,0.917,2137927,34,0.0,2010,12,690,shot,0,neal-maupay,268903,3.8,50.5,0,0,51.3,13.3,1.5,50.4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
22,0.067104883491993,0.0,2137752,21,0.0,1201,25,1499,shot,0,alex-iwobi,352770,18.9,43.1,0,0,57.8,5.6,0.0,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
23,0.014813043177128,0.0,2137751,19,0.0,1110,27,1590,shot,0,idrissa-gueye,106337,19.5,37.1,0,0,48.9,16.7,18.2,38.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
24,0.065963849425316,0.0,2137716,18,0.0,1061,28,1639,shot,0,alex-iwobi,352770,14.4,34.5,0,0,50.7,19.0,12.7,36.3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
25,0.53585439920425,0.8356,2137566,5,0.0,260,41,2440,shot,0,abdoulaye-doucoure,96535,12.8,53.0,0,0,52.5,1.9,9.0,52.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
26,0.043962068855762,0.0,2137558,3,0.0,139,43,2561,shot,0,tom-cairney,82566,18.5,47.4,0,0,52.3,83.3,0.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
27,0.049125719815493,0.0,2137531,1,0.0,33,45,2667,shot,0,neal-maupay,268903,13.6,73.0,0,0,60.2,1.4,0.0,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
