,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,addedTime,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
10,0.035643834620714,2142539,58,3428,33,1972,shot,0.391,0.0,0,vitaly-janelt,814873,13.0,23.2,0,0,46.4,16.5,2.0,45.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
11,0.0088364481925964,2142521,53,3143,38,2257,shot,0.0,0.0,0,dejan-kulusevski,928124,9.3,71.1,0,0,35.8,18.1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
12,0.12045197188854,2142522,52,3103,39,2297,shot,0.0,0.0,0,davinson-sanchez,566102,7.5,48.8,0,0,0.8,4.2,5.7,64.8,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
13,0.050848178565502,2142485,47,2815,44,2585,shot,0.0223,0.0,0,james-maddison,356398,16.0,36.1,0,0,50.0,2.5,2.3,47.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
14,0.56234669685364,2142386,45,3261,1,2139,shot,0.0,10.0,0,bryan-mbeumo,927083,6.7,53.6,0,0,52.1,52.8,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
15,0.033584769815207,2142371,45,2939,1,2461,shot,0.2362,4.0,regular,emerson-royal,856123,22.2,44.3,0,0,53.2,0.6,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
16,0.024892061948776,2142368,45,2863,1,2537,shot,0.0,3.0,0,heung-min-son,111505,4.2,34.0,0,0,57.3,20.8,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
17,0.010219607502222,2142345,44,2586,2,114,shot,0.0,0.0,0,yves-bissouma,844842,30.1,43.1,0,0,49.5,19.0,27.7,43.7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
18,0.016696278005838,2142339,42,2518,4,182,shot,0.0,0.0,0,yves-bissouma,844842,28.9,48.5,0,0,46.9,19.0,25.1,49.1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
19,0.1730687469244,2142319,36,2152,10,548,shot,0.0778,0.0,regular,yoane-wissa,805123,12.6,40.9,0,0,51.3,1.9,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
20,0.046050876379013,2142292,31,1844,15,856,shot,0.0,0.0,0,yoane-wissa,805123,7.7,32.8,0,0,52.6,19.0,6.4,35.2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
21,0.0081276912242174,2142281,28,1647,18,1053,shot,0.0,0.0,0,yves-bissouma,844842,50.2,50.0,0,0,50.3,83.3,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
22,0.7884,2142273,27,1561,19,1139,shot,0.9887,0.0,penalty,bryan-mbeumo,927083,11.5,50.0,0,0,53.2,4.4,0.0,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
23,0.080826595425606,2142227,18,1039,28,1661,shot,0.0715,0.0,0,yoane-wissa,805123,14.2,51.3,0,0,48.4,20.3,1.6,51.1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
24,0.031837269663811,2142222,17,995,29,1705,shot,0.0,0.0,0,hickey-aaron,966869,23.6,46.6,0,0,47.6,2.8,14.9,48.6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
25,0.04997593909502,2142218,16,939,30,1761,shot,0.0882,0.0,0,bryan-mbeumo,927083,6.8,31.2,0,0,53.2,13.9,1.2,44.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
26,0.58093470335007,2142194,11,607,35,2093,shot,0.6226,0.0,regular,cristian-romero,829932,4.3,49.6,0,0,48.4,24.1,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
27,0.013531053438783,2142185,9,519,37,2181,shot,0.0,0.0,0,micky-van-de-ven,998247,14.8,52.7,0,0,37.5,12.5,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
28,0.011999501846731,2142187,9,518,37,2182,shot,0.0,0.0,0,dejan-kulusevski,928124,14.7,68.2,0,0,50.6,19.0,13.3,66.4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
