,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
17,0.028127057477832,2165081,26,0.0,1550,20,1150,shot,0.0,0,harry-wilson,355528,26.6,41.9,0,0,40.3,18.1,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
18,0.037751574069262,2165059,24,0.0,1421,22,1279,shot,0.0,0,joao-palhinha,364612,13.5,56.3,0,0,50.1,19.0,6.7,54.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
19,0.019616052508354,2165085,24,0.0,1419,22,1281,shot,0.0,0,sasa-lukic,371222,14.7,69.2,0,0,65.2,6.9,6.7,49.5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
20,0.057080507278442,2165037,23,0.0,1355,23,1345,shot,0.0,0,raul-jimenez,192442,12.2,36.3,0,0,49.5,19.0,11.0,37.7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
21,0.075274594128132,2165027,22,0.0,1289,24,1411,shot,0.0,0,raul-jimenez,192442,13.1,44.7,0,0,41.3,33.3,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
22,0.040290672332048,2164996,19,0.0,1121,27,1579,shot,0.0,0,william-saliba,941168,9.2,63.9,0,0,48.7,19.0,6.8,60.7,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
23,0.23913696408272,2164988,19,0.0,1117,27,1583,shot,0.0,0,gabriel-martinelli,922573,5.4,53.1,0,0,48.4,19.0,4.0,52.7,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
24,0.097781173884869,2164955,18,0.0,1037,28,1663,shot,0.0309,0,gabriel-martinelli,922573,13.7,39.8,0,0,49.8,1.3,2.4,48.7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
25,0.27628937363625,2164897,11,0.0,654,35,2046,shot,0.0,0,kai-havertz,836705,4.5,47.7,0,0,38.3,22.2,0.90000000000001,57.9,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
26,0.033924873918295,2164776,1,0.0,57,45,2643,shot,0.056,regular,andreas-pereira,285949,27.1,32.3,0,0,52.4,12.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
