,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
19,0.02995653450489,2137905,32,1865,14,835,shot,0.0,0,marc-guehi,877994,10.1,55.4,0,0,65.4,43.1,1.9,43.1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
20,0.062259398400784,2137888,31,1834,15,866,shot,0.0,0,jordan-ayew,103045,13.4,64.3,0,0,50.5,19.0,9.9,60.5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
21,0.056837860494852,2137893,31,1829,15,871,shot,0.0,0,eberechi-eze,864921,14.8,40.9,0,0,51.8,19.0,11.4,42.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
22,0.0090221725404263,2137870,30,1743,16,957,shot,0.1944,0,cheick-doucoure,906047,28.2,50.9,0,0,53.0,2.5,1.4,50.4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
23,0.020988883450627,2137883,29,1739,17,961,shot,0.0,0,jeffrey-schlupp,148710,26.5,32.8,0,0,36.8,6.9,18.2,44.4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
24,0.04100401699543,2137850,27,1611,19,1089,shot,0.0,0,john-egan,100578,8.5,57.8,0,0,46.9,72.2,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
25,0.03069119527936,2137804,24,1383,22,1317,shot,0.0,0,odsonne-edouard,795228,13.5,43.4,0,0,31.4,23.6,9.9,50.2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
26,0.017278924584389,2137778,22,1275,24,1425,shot,0.1854,0,joachim-andersen,362682,31.5,56.3,0,0,47.1,23.4,2.0,52.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
27,0.05715636909008,2137754,20,1173,26,1527,shot,0.4303,0,odsonne-edouard,795228,11.4,71.1,0,0,53.2,3.2,2.7,56.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
28,0.11242364346981,2137713,17,981,29,1719,shot,0.0,0,eberechi-eze,864921,10.4,45.8,0,0,47.0,19.0,6.4,48.6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
29,0.024312390014529,2137705,17,979,29,1721,shot,0.0,0,eberechi-eze,864921,25.9,43.3,0,0,50.8,19.0,22.7,44.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
30,0.038532063364983,2137658,14,785,32,1915,shot,0.0,0,odsonne-edouard,795228,9.0,33.0,0,0,50.8,19.0,7.3,34.7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
31,0.020194025710225,2137612,9,507,37,2193,shot,0.0,0,osula-william,1122603,19.9,70.8,0,0,48.0,19.0,12.8,64.1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
