,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
12,0.009214392863214,2000887,76,,4536,15,864,shot,,,rico-henry,599128,25.2,43.3,0,0,29.6,90.3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
13,0.10693262517452,2000869,62,,3664,29,1736,shot,0.8904,regular,bryan-mbeumo,927083,6.4,68.6,0,0,53.7,0.6,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
14,0.034413009881973,2000866,61,,3609,30,1791,shot,,,mathias-jensen,799251,28.5,48.7,0,0,50.6,98.6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
15,0.12924914062023,2000856,59,,3485,32,1915,shot,,,bryan-mbeumo,927083,6.8,54.5,0,0,39.3,69.4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
16,0.044631510972977,2000846,57,,3390,34,2010,shot,,,harry-kane,108579,18.3,63.7,0,0,41.7,88.9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
17,0.048631317913532,2000859,56,,3347,35,2053,shot,0.0472,,bryan-mbeumo,927083,16.5,64.9,0,0,48.4,16.5,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
18,0.015441238880157,2000834,53,,3158,38,2242,shot,,,emerson-royal,856123,25.5,65.8,0,0,52.8,19.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
19,0.068763822317123,2000826,50,,2988,41,2412,shot,0.249,regular,bryan-mbeumo,927083,14.7,63.4,0,0,53.2,8.9,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,0.10501576215029,2000779,45,4.0,2927,1,2473,shot,0.1473,,dejan-kulusevski,928124,8.7,29.9,0,0,52.4,27.8,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
21,0.060723200440407,2000773,45,4.0,2907,1,2493,shot,,,dejan-kulusevski,928124,20.8,36.7,0,0,50.6,19.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
22,0.226567029953,2000766,45,1.0,2723,1,2677,shot,,,heung-min-son,111505,9.4,44.2,0,0,49.7,19.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
23,0.1453869342804,2000751,43,,2524,3,176,shot,,,arnaut-danjuma,827064,8.5,53.4,0,0,58.2,19.4,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
24,0.046905163675547,2000726,35,,2062,11,638,shot,,,mathias-jensen,799251,21.6,38.0,0,0,41.2,72.2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
25,0.079737983644009,2000721,32,,1895,14,805,shot,,,yoane-wissa,805123,14.5,48.5,0,0,50.1,19.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
26,0.043316274881363,2000718,29,,1707,17,993,shot,,,bryan-mbeumo,927083,11.2,53.8,0,0,40.2,77.8,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
27,0.11593020707369,2000712,24,,1423,22,1277,shot,,,davinson-sanchez,566102,6.9,47.8,0,0,40.3,18.1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
28,0.047174379229546,2000711,24,,1387,22,1313,shot,,,emerson-royal,856123,9.5,59.6,0,0,46.1,19.0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
29,0.10567031055689,2000674,11,,658,35,2042,shot,0.2291,,heung-min-son,111505,14.2,37.4,0,0,50.5,13.3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
30,0.029834728688002,2000664,8,,422,38,2278,shot,0.4737,regular,harry-kane,108579,25.4,49.1,0,0,46.1,29.7,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
31,0.053861670196056,2000655,5,,242,41,2458,shot,0.0701,,harry-kane,108579,14.4,34.0,0,0,51.6,1.3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
32,0.047067180275917,2000654,4,,205,42,2495,shot,,,bryan-mbeumo,927083,14.7,63.3,0,0,67.9,84.7,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
