,goalType,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
12,,0.035812426358461,0.0236,1938190,64,,3825,27,1575,shot,skipp-oliver,859901,22.9,32.7,0,0,50.3,21.5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
13,,0.067076571285725,,1938193,64,,3818,27,1582,shot,heung-min-son,111505,19.2,51.3,0,0,50.8,19.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
14,,0.052210669964552,0.0274,1938177,63,,3764,28,1636,shot,arnaut-danjuma,827064,6.8,67.2,0,0,49.6,19.6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
15,,0.028111293911934,,1938203,63,,3751,28,1649,shot,ivan-perisic,38710,13.4,44.8,0,0,51.6,19.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
16,,0.094261571764946,,1938144,61,,3604,30,1796,shot,ivan-perisic,38710,11.0,44.8,0,0,49.2,83.3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
17,regular,0.15185098350048,0.788,1938024,51,,3041,40,2359,shot,dominic-solanke,361420,8.8,42.3,0,0,47.0,7.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
18,,0.098304212093353,0.0336,1937728,45,3.0,2859,1,2541,shot,heung-min-son,111505,11.9,39.0,0,0,51.0,8.9,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
19,,0.022609470412135,,1937729,45,3.0,2855,1,2545,shot,dejan-kulusevski,928124,16.7,34.5,0,0,49.0,19.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
20,regular,0.39742693305016,0.8088,1937676,38,,2258,8,442,shot,matias-vina,875295,9.1,37.7,0,0,46.6,8.9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
21,,0.053924031555653,,1937656,37,,2163,9,537,shot,harry-kane,108579,22.3,43.3,0,0,45.7,86.1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
22,,0.061184026300907,0.1245,1937573,29,,1714,17,986,shot,marcus-tavernier,895576,20.0,64.8,0,0,51.4,30.4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
23,,0.021245053038001,,1937531,26,,1543,20,1157,shot,jefferson-lerma,355796,30.6,47.4,0,0,41.3,87.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,,0.37763047218323,0.1104,1937493,23,,1359,23,1341,shot,harry-kane,108579,11.1,57.5,0,0,48.6,0.6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
25,,0.11081715673208,0.3135,1937479,21,,1239,25,1461,shot,heung-min-son,111505,6.2,33.2,0,0,52.9,29.1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
26,,0.10327928513288,,1937422,16,,944,30,1756,shot,ryan-christie,322391,15.7,46.3,0,0,54.5,69.4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
27,,0.025637079030275,,1937414,16,,903,30,1797,shot,harry-kane,108579,26.8,62.4,0,0,60.8,4.2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
28,regular,0.33026772737503,0.7418,1937399,14,,792,32,1908,shot,heung-min-son,111505,8.0,43.7,0,0,48.1,1.3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
29,,0.025269612669945,,1937372,12,,686,34,2014,shot,dejan-kulusevski,928124,14.4,64.9,0,0,53.3,25.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
30,,0.073981240391731,,1937363,11,,653,35,2047,shot,dejan-kulusevski,928124,18.0,55.5,0,0,52.1,19.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
31,,0.046306408941746,,1937329,8,,447,38,2253,shot,dejan-kulusevski,928124,19.4,59.8,0,0,49.7,6.9,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
32,,0.06969952583313,,1937256,2,,119,44,2581,shot,marcus-tavernier,895576,15.4,67.1,0,0,50.1,19.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
