,xg,xgot,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,addedTime,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot
10,0.090590097010136,,1792842,66,3944,25,1456,shot,,,harry-kane,108579,7.0,61.6,0,0,46.5,19.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
11,0.08759219199419,,1792833,61,3613,30,1787,shot,,,ryan-sessegnon,836698,10.3,40.0,0,0,0.8,13.9,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
12,0.1003126129508,0.0786,1792824,58,3425,33,1975,shot,,,edward-nketiah,858194,13.3,34.9,0,0,48.6,6.3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
13,0.030256988480687,,1792823,56,3344,35,2056,shot,,,dejan-kulusevski,928124,11.5,75.2,0,0,59.2,27.8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
14,0.034266874194145,0.2643,1792822,53,3150,38,2250,shot,,,harry-kane,108579,9.6,39.8,0,0,46.8,16.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
15,0.18204994499683,0.8043,1792818,52,3094,39,2306,shot,,,ryan-sessegnon,836698,6.0,33.6,0,0,47.0,1.9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
16,0.065187238156796,0.2364,1792816,50,2988,41,2412,shot,,,harry-kane,108579,16.5,66.8,0,0,52.9,19.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
17,0.035079717636108,,1792812,49,2882,42,2518,shot,,,dejan-kulusevski,928124,12.4,72.1,0,0,53.1,65.3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
18,0.064571037888527,,1792766,45,2853,1,2547,shot,3.0,,pierre-emile-hojbjerg,149593,12.8,41.5,0,0,35.6,11.1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
19,0.26008960604668,0.3175,1792765,45,2822,1,2578,shot,3.0,,harry-kane,108579,6.5,54.6,0,0,46.1,4.4,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
20,0.046072605997324,,1792756,42,2497,4,203,shot,,,martin-odegaard,547410,20.7,73.0,0,0,48.4,19.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
21,0.048637714236975,0.3427,1792734,36,2120,10,580,shot,,regular,martin-odegaard,547410,25.3,50.8,0,0,46.2,2.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
22,0.03250341117382,,1792717,29,1715,17,985,shot,,,bukayo-saka,934235,13.6,66.6,0,0,82.4,5.6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
23,0.042740270495415,,1792700,25,1442,21,1258,shot,,,thomas-partey,316148,22.2,54.2,0,0,44.5,25.9,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
24,0.25404188036919,,1792707,24,1438,22,1262,shot,,,edward-nketiah,858194,5.0,50.2,0,0,49.9,19.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
25,0.038453407585621,0.1258,1792688,22,1305,24,1395,shot,,,martin-odegaard,547410,24.4,61.8,0,0,46.6,11.4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
26,0.024336360394955,,1792685,22,1277,24,1423,shot,,,pierre-emile-hojbjerg,149593,28.4,37.1,0,0,46.4,19.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
27,0.35124179720879,0.7551,1792675,18,1029,28,1671,shot,,,heung-min-son,111505,6.4,61.0,0,0,52.2,1.3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
28,,,1792670,14,833,32,1867,shot,,own,hugo-lloris,9048,1.6,55.0,0,0,45.7,24.1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
29,0.057137906551361,,1792650,11,624,35,2076,shot,,,thomas-partey,316148,10.1,51.0,0,0,53.4,65.3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
30,0.3223522901535,0.6007,1792640,7,401,39,2299,shot,,,edward-nketiah,858194,6.9,45.5,0,0,51.7,2.5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
31,0.065881237387657,,1792632,4,222,42,2478,shot,,,gabriel-martinelli,922573,9.4,35.3,0,0,49.3,19.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
